language,noun,color,size,case,count_index,surface
en,0,0,0,nom,,the small red dog
en,0,0,0,acc,,the small red dog
en,0,0,0,dat,,the small red dog
en,0,0,0,plural,0,two small red dogs
en,0,0,0,plural,1,three small red dogs
en,0,0,0,plural,2,four small red dogs
en,0,0,0,plural,3,five small red dogs
en,0,0,0,plural,4,six small red dogs
en,0,0,0,plural,5,seven small red dogs
en,0,0,0,plural,6,eight small red dogs
en,0,0,1,nom,,the large red dog
en,0,0,1,acc,,the large red dog
en,0,0,1,dat,,the large red dog
en,0,0,1,plural,0,two large red dogs
en,0,0,1,plural,1,three large red dogs
en,0,0,1,plural,2,four large red dogs
en,0,0,1,plural,3,five large red dogs
en,0,0,1,plural,4,six large red dogs
en,0,0,1,plural,5,seven large red dogs
en,0,0,1,plural,6,eight large red dogs
en,0,0,2,nom,,the young red dog
en,0,0,2,acc,,the young red dog
en,0,0,2,dat,,the young red dog
en,0,0,2,plural,0,two young red dogs
en,0,0,2,plural,1,three young red dogs
en,0,0,2,plural,2,four young red dogs
en,0,0,2,plural,3,five young red dogs
en,0,0,2,plural,4,six young red dogs
en,0,0,2,plural,5,seven young red dogs
en,0,0,2,plural,6,eight young red dogs
en,0,0,3,nom,,the old red dog
en,0,0,3,acc,,the old red dog
en,0,0,3,dat,,the old red dog
en,0,0,3,plural,0,two old red dogs
en,0,0,3,plural,1,three old red dogs
en,0,0,3,plural,2,four old red dogs
en,0,0,3,plural,3,five old red dogs
en,0,0,3,plural,4,six old red dogs
en,0,0,3,plural,5,seven old red dogs
en,0,0,3,plural,6,eight old red dogs
en,0,1,0,nom,,the small blue dog
en,0,1,0,acc,,the small blue dog
en,0,1,0,dat,,the small blue dog
en,0,1,0,plural,0,two small blue dogs
en,0,1,0,plural,1,three small blue dogs
en,0,1,0,plural,2,four small blue dogs
en,0,1,0,plural,3,five small blue dogs
en,0,1,0,plural,4,six small blue dogs
en,0,1,0,plural,5,seven small blue dogs
en,0,1,0,plural,6,eight small blue dogs
en,0,1,1,nom,,the large blue dog
en,0,1,1,acc,,the large blue dog
en,0,1,1,dat,,the large blue dog
en,0,1,1,plural,0,two large blue dogs
en,0,1,1,plural,1,three large blue dogs
en,0,1,1,plural,2,four large blue dogs
en,0,1,1,plural,3,five large blue dogs
en,0,1,1,plural,4,six large blue dogs
en,0,1,1,plural,5,seven large blue dogs
en,0,1,1,plural,6,eight large blue dogs
en,0,1,2,nom,,the young blue dog
en,0,1,2,acc,,the young blue dog
en,0,1,2,dat,,the young blue dog
en,0,1,2,plural,0,two young blue dogs
en,0,1,2,plural,1,three young blue dogs
en,0,1,2,plural,2,four young blue dogs
en,0,1,2,plural,3,five young blue dogs
en,0,1,2,plural,4,six young blue dogs
en,0,1,2,plural,5,seven young blue dogs
en,0,1,2,plural,6,eight young blue dogs
en,0,1,3,nom,,the old blue dog
en,0,1,3,acc,,the old blue dog
en,0,1,3,dat,,the old blue dog
en,0,1,3,plural,0,two old blue dogs
en,0,1,3,plural,1,three old blue dogs
en,0,1,3,plural,2,four old blue dogs
