language,noun,color,size,case,count_index,surface
de,0,0,0,nom,,der kleine rote Hund
de,0,0,0,acc,,den kleinen roten Hund
de,0,0,0,dat,,dem kleinen roten Hund
de,0,0,0,plural,0,zwei kleine rote Hunde
de,0,0,0,plural,1,drei kleine rote Hunde
de,0,0,0,plural,2,vier kleine rote Hunde
de,0,0,0,plural,3,fünf kleine rote Hunde
de,0,0,0,plural,4,sechs kleine rote Hunde
de,0,0,0,plural,5,sieben kleine rote Hunde
de,0,0,0,plural,6,acht kleine rote Hunde
de,0,0,1,nom,,der große rote Hund
de,0,0,1,acc,,den großen roten Hund
de,0,0,1,dat,,dem großen roten Hund
de,0,0,1,plural,0,zwei große rote Hunde
de,0,0,1,plural,1,drei große rote Hunde
de,0,0,1,plural,2,vier große rote Hunde
de,0,0,1,plural,3,fünf große rote Hunde
de,0,0,1,plural,4,sechs große rote Hunde
de,0,0,1,plural,5,sieben große rote Hunde
de,0,0,1,plural,6,acht große rote Hunde
de,0,0,2,nom,,der junge rote Hund
de,0,0,2,acc,,den jungen roten Hund
de,0,0,2,dat,,dem jungen roten Hund
de,0,0,2,plural,0,zwei junge rote Hunde
de,0,0,2,plural,1,drei junge rote Hunde
de,0,0,2,plural,2,vier junge rote Hunde
de,0,0,2,plural,3,fünf junge rote Hunde
de,0,0,2,plural,4,sechs junge rote Hunde
de,0,0,2,plural,5,sieben junge rote Hunde
de,0,0,2,plural,6,acht junge rote Hunde
de,0,0,3,nom,,der alte rote Hund
de,0,0,3,acc,,den alten roten Hund
de,0,0,3,dat,,dem alten roten Hund
de,0,0,3,plural,0,zwei alte rote Hunde
de,0,0,3,plural,1,drei alte rote Hunde
de,0,0,3,plural,2,vier alte rote Hunde
de,0,0,3,plural,3,fünf alte rote Hunde
de,0,0,3,plural,4,sechs alte rote Hunde
de,0,0,3,plural,5,sieben alte rote Hunde
de,0,0,3,plural,6,acht alte rote Hunde
de,0,1,0,nom,,der kleine blaue Hund
de,0,1,0,acc,,den kleinen blauen Hund
de,0,1,0,dat,,dem kleinen blauen Hund
de,0,1,0,plural,0,zwei kleine blaue Hunde
de,0,1,0,plural,1,drei kleine blaue Hunde
de,0,1,0,plural,2,vier kleine blaue Hunde
de,0,1,0,plural,3,fünf kleine blaue Hunde
de,0,1,0,plural,4,sechs kleine blaue Hunde
de,0,1,0,plural,5,sieben kleine blaue Hunde
de,0,1,0,plural,6,acht kleine blaue Hunde
de,0,1,1,nom,,der große blaue Hund
de,0,1,1,acc,,den großen blauen Hund
de,0,1,1,dat,,dem großen blauen Hund
de,0,1,1,plural,0,zwei große blaue Hunde
de,0,1,1,plural,1,drei große blaue Hunde
de,0,1,1,plural,2,vier große blaue Hunde
de,0,1,1,plural,3,fünf große blaue Hunde
de,0,1,1,plural,4,sechs große blaue Hunde
de,0,1,1,plural,5,sieben große blaue Hunde
de,0,1,1,plural,6,acht große blaue Hunde
de,0,1,2,nom,,der junge blaue Hund
de,0,1,2,acc,,den jungen blauen Hund
de,0,1,2,dat,,dem jungen blauen Hund
de,0,1,2,plural,0,zwei junge blaue Hunde
de,0,1,2,plural,1,drei junge blaue Hunde
de,0,1,2,plural,2,vier junge blaue Hunde
de,0,1,2,plural,3,fünf junge blaue Hunde
de,0,1,2,plural,4,sechs junge blaue Hunde
de,0,1,2,plural,5,sieben junge blaue Hunde
de,0,1,2,plural,6,acht junge blaue Hunde
de,0,1,3,nom,,der alte blaue Hund
de,0,1,3,acc,,den alten blauen Hund
de,0,1,3,dat,,dem alten blauen Hund
de,0,1,3,plural,0,zwei alte blaue Hunde
de,0,1,3,plural,1,drei alte blaue Hunde
de,0,1,3,plural,2,vier alte blaue Hunde
de,0,1,3,plural,3,fünf alte blaue Hunde
de,0,1,3,plural,4,sechs alte blaue Hunde
de,0,1,3,plural,5,sieben alte blaue Hunde
de,0,1,3,plural,6,acht alte blaue Hunde
de,0,2,0,nom,,der kleine grüne Hund
de,0,2,0,acc,,den kleinen grünen Hund
de,0,2,0,dat,,dem kleinen grünen Hund
de,0,2,0,plural,0,zwei kleine grüne Hunde
de,0,2,0,plural,1,drei kleine grüne Hunde
de,0,2,0,plural,2,vier kleine grüne Hunde
de,0,2,0,plural,3,fünf kleine grüne Hunde
de,0,2,0,plural,4,sechs kleine grüne Hunde
de,0,2,0,plural,5,sieben kleine grüne Hunde
de,0,2,0,plural,6,acht kleine grüne Hunde
de,0,2,1,nom,,der große grüne Hund
de,0,2,1,acc,,den großen grünen Hund
de,0,2,1,dat,,dem großen grünen Hund
de,0,2,1,plural,0,zwei große grüne Hunde
de,0,2,1,plural,1,drei große grüne Hunde
de,0,2,1,plural,2,vier große grüne Hunde
de,0,2,1,plural,3,fünf große grüne Hunde
de,0,2,1,plural,4,sechs große grüne Hunde
de,0,2,1,plural,5,sieben große grüne Hunde
