review_id,language,split,task,sentence_a,sentence_b,reviewer,judged_label,fluent,comment
81e205545c,de,train,quantity,Es gibt acht junge rote Hunde und drei alte rote Enten.,Es gibt acht alte rote Enten und drei junge rote Hunde.,DE-R1-EDV65,,,
2ba81ab0e0,de,test,negation,"Wenn das große gelbe Schaf das junge rote Pferd nicht grüßt und das junge rote Pferd das große gelbe Schaf grüßt, klingelt eine Glocke.","Wenn das junge rote Pferd von dem großen gelben Schaf gegrüßt wird und das große gelbe Schaf nicht von dem jungen roten Pferd gegrüßt wird, klingelt eine Glocke.",DE-R1-EDV65,,,
01360da67c,de,train,roles,Der große gelbe Bär sieht den kleinen gelben Bären und der kleine gelbe Bär verfolgt den großen gelben Bären.,Der kleine gelbe Bär wird von dem großen gelben Bären gesehen und der große gelbe Bär wird von dem kleinen gelben Bären verfolgt.,DE-R1-EDV65,,,
b7cc8d9eea,de,dev_a,quantity,"Stimmt es, dass es sieben junge weiße Füchse und fünf kleine schwarze Bären gibt?","Stimmt es, dass es fünf kleine schwarze Bären und sieben junge weiße Füchse gibt?",DE-R1-EDV65,,,
0e90cdc531,de,train,roles,Das große grüne Huhn sieht den kleinen gelben Bären und der kleine gelbe Bär verfolgt das große grüne Huhn.,Der kleine gelbe Bär wird von dem großen grünen Huhn gesehen und das große grüne Huhn wird von dem kleinen gelben Bären verfolgt.,DE-R1-EDV65,,,
f85344a30f,de,dev_a,negation,"Stimmt es, dass der große rote Hund den alten schwarzen Bären nicht grüßt und der alte schwarze Bär den großen roten Hund grüßt?","Stimmt es, dass der alte schwarze Bär nicht von dem großen roten Hund gegrüßt wird und der große rote Hund von dem alten schwarzen Bären gegrüßt wird?",DE-R1-EDV65,,,
1ba94ff279,de,train,negation,Die große grüne Ente verfolgt das große weiße Schaf nicht und das große weiße Schaf verfolgt die große grüne Ente.,Das große weiße Schaf wird nicht von der großen grünen Ente verfolgt und die große grüne Ente wird von dem großen weißen Schaf verfolgt.,DE-R1-EDV65,,,
4ee03ad3fb,de,train,quantity,Es gibt sieben kleine blaue Pferde und drei kleine schwarze Bären.,Es gibt sieben kleine schwarze Bären und drei kleine blaue Pferde.,DE-R1-EDV65,,,
b09ecc83a1,de,test,quantity,"Wenn es sechs kleine grüne Hunde und sieben alte weiße Katzen gibt, klingelt eine Glocke.","Wenn es sechs alte weiße Katzen und sieben kleine grüne Hunde gibt, klingelt eine Glocke.",DE-R1-EDV65,,,
8b4d97bce6,de,dev_a,space,"Stimmt es, dass der große schwarze Löwe hinter dem jungen grünen Schaf ist und die junge gelbe Kuh vor der kleinen weißen Kuh ist?","Stimmt es, dass das junge grüne Schaf hinter dem großen schwarzen Löwen ist und die kleine weiße Kuh vor der jungen gelben Kuh ist?",DE-R1-EDV65,,,
281e351a5c,de,test,negation,"Wenn der kleine gelbe Löwe die alte grüne Kuh nicht verfolgt und die alte grüne Kuh den kleinen gelben Löwen verfolgt, klingelt eine Glocke.","Wenn die alte grüne Kuh von dem kleinen gelben Löwen verfolgt wird und der kleine gelbe Löwe nicht von der alten grünen Kuh verfolgt wird, klingelt eine Glocke.",DE-R1-EDV65,,,
84d7c62287,de,train,roles,Der kleine grüne Fuchs grüßt den kleinen grünen Bären und der kleine grüne Bär verfolgt den kleinen grünen Fuchs.,Der kleine grüne Bär wird von dem kleinen grünen Fuchs gegrüßt und der kleine grüne Fuchs wird von dem kleinen grünen Bären verfolgt.,DE-R1-EDV65,,,
85b5a83759,de,dev_a,roles,"Stimmt es, dass das kleine gelbe Kaninchen den alten gelben Hund sieht und der alte gelbe Hund das kleine gelbe Kaninchen verfolgt?","Stimmt es, dass der alte gelbe Hund von dem kleinen gelben Kaninchen verfolgt wird und das kleine gelbe Kaninchen von dem alten gelben Hund gesehen wird?",DE-R1-EDV65,,,
262e737c71,de,test,negation,"Wenn das kleine gelbe Schaf die junge blaue Katze nicht grüßt und die junge blaue Katze das kleine gelbe Schaf grüßt, klingelt eine Glocke.","Wenn die junge blaue Katze nicht von dem kleinen gelben Schaf gegrüßt wird und das kleine gelbe Schaf von der jungen blauen Katze gegrüßt wird, klingelt eine Glocke.",DE-R1-EDV65,,,
354735673c,de,dev_a,roles,"Stimmt es, dass der große rote Löwe den jungen roten Bären verfolgt und der junge rote Bär den großen roten Löwen grüßt?","Stimmt es, dass der junge rote Bär von dem großen roten Löwen gegrüßt wird und der große rote Löwe von dem jungen roten Bären verfolgt wird?",DE-R1-EDV65,,,
5c08c0ad66,de,dev_a,space,"Stimmt es, dass das junge gelbe Pferd unterhalb von dem jungen blauen Huhn ist und das junge blaue Kaninchen oberhalb von dem kleinen roten Pferd ist?","Stimmt es, dass das junge blaue Huhn oberhalb von dem jungen gelben Pferd ist und das kleine rote Pferd unterhalb von dem jungen blauen Kaninchen ist?",DE-R1-EDV65,,,
80130bb268,de,train,quantity,Es gibt fünf alte gelbe Katzen und sechs alte blaue Bären.,Es gibt fünf alte blaue Bären und sechs alte gelbe Katzen.,DE-R1-EDV65,,,
45b300ae27,de,dev_a,negation,"Stimmt es, dass die alte grüne Kuh die kleine schwarze Kuh grüßt und die kleine schwarze Kuh die alte grüne Kuh nicht grüßt?","Stimmt es, dass die kleine schwarze Kuh von der alten grünen Kuh gegrüßt wird und die alte grüne Kuh nicht von der kleinen schwarzen Kuh gegrüßt wird?",DE-R1-EDV65,,,
62a253bb0e,de,dev_b,quantity,"Jemand sagt, dass es vier große schwarze Füchse und sechs kleine grüne Kühe gibt.","Jemand sagt, dass es sechs kleine grüne Kühe und vier große schwarze Füchse gibt.",DE-R1-EDV65,,,
f04bc84daa,de,train,roles,Das junge gelbe Kaninchen verfolgt das kleine grüne Schaf und das kleine grüne Schaf grüßt das junge gelbe Kaninchen.,Das kleine grüne Schaf wird von dem jungen gelben Kaninchen gegrüßt und das junge gelbe Kaninchen wird von dem kleinen grünen Schaf verfolgt.,DE-R1-EDV65,,,
f22051cc82,de,dev_b,space,"Jemand sagt, dass die große blaue Maus links von dem jungen schwarzen Kaninchen ist und der große schwarze Fuchs rechts von der kleinen gelben Katze ist.","Jemand sagt, dass das junge schwarze Kaninchen links von der großen blauen Maus ist und die kleine gelbe Katze rechts von dem großen schwarzen Fuchs ist.",DE-R1-EDV65,,,
36d935dcb8,de,test,space,"Wenn die alte rote Kuh vor dem alten blauen Schaf ist und der junge weiße Löwe hinter der jungen schwarzen Ente ist, klingelt eine Glocke.","Wenn das alte blaue Schaf hinter der alten roten Kuh ist und die junge schwarze Ente vor dem jungen weißen Löwen ist, klingelt eine Glocke.",DE-R1-EDV65,,,
8d9908a490,de,train,space,Die alte grüne Katze ist hinter dem großen schwarzen Huhn und die kleine gelbe Maus ist vor dem großen grünen Pferd.,Das große schwarze Huhn ist vor der alten grünen Katze und das große grüne Pferd ist hinter der kleinen gelben Maus.,DE-R1-EDV65,,,
a15b65d4be,de,dev_a,quantity,"Stimmt es, dass es vier große weiße Hunde und acht alte schwarze Pferde gibt?","Stimmt es, dass es acht alte schwarze Pferde und vier große weiße Hunde gibt?",DE-R1-EDV65,,,
d9da73eef2,de,train,quantity,Es gibt zwei kleine weiße Katzen und sechs große schwarze Katzen.,Es gibt zwei große schwarze Katzen und sechs kleine weiße Katzen.,DE-R1-EDV65,,,
3ccaac1c1e,de,test,quantity,"Wenn es fünf alte rote Hunde und vier große schwarze Enten gibt, klingelt eine Glocke.","Wenn es vier große schwarze Enten und fünf alte rote Hunde gibt, klingelt eine Glocke.",DE-R1-EDV65,,,
a7f61c29b2,de,test,quantity,"Wenn es vier alte schwarze Bären und fünf große schwarze Kühe gibt, klingelt eine Glocke.","Wenn es vier große schwarze Kühe und fünf alte schwarze Bären gibt, klingelt eine Glocke.",DE-R1-EDV65,,,
0e86188ed0,de,dev_b,negation,"Jemand sagt, dass die große schwarze Kuh die große schwarze Ente grüßt und die große schwarze Ente die große schwarze Kuh nicht grüßt.","Jemand sagt, dass die große schwarze Ente von der großen schwarzen Kuh gegrüßt wird und die große schwarze Kuh nicht von der großen schwarzen Ente gegrüßt wird.",DE-R1-EDV65,,,
e56a76fd41,de,dev_a,roles,"Stimmt es, dass der alte gelbe Bär den alten grünen Hund sieht und der alte grüne Hund den alten gelben Bären grüßt?","Stimmt es, dass der alte grüne Hund von dem alten gelben Bären gesehen wird und der alte gelbe Bär von dem alten grünen Hund gegrüßt wird?",DE-R1-EDV65,,,
c98151506b,de,train,negation,Die alte blaue Kuh sieht die alte weiße Maus und die alte weiße Maus sieht die alte blaue Kuh nicht.,Die alte weiße Maus wird von der alten blauen Kuh gesehen und die alte blaue Kuh wird nicht von der alten weißen Maus gesehen.,DE-R1-EDV65,,,
9f30629de8,de,train,negation,Der alte rote Hund grüßt den jungen weißen Hund nicht und der junge weiße Hund grüßt den alten roten Hund.,Der junge weiße Hund wird nicht von dem alten roten Hund gegrüßt und der alte rote Hund wird von dem jungen weißen Hund gegrüßt.,DE-R1-EDV65,,,
5386cd9f9d,de,dev_b,roles,"Jemand sagt, dass der kleine rote Hund das junge blaue Kaninchen verfolgt und das junge blaue Kaninchen den kleinen roten Hund sieht.","Jemand sagt, dass das junge blaue Kaninchen von dem kleinen roten Hund gesehen wird und der kleine rote Hund von dem jungen blauen Kaninchen verfolgt wird.",DE-R1-EDV65,,,
c4e6ae24f2,de,train,quantity,Es gibt vier kleine weiße Füchse und sieben junge grüne Katzen.,Es gibt vier junge grüne Katzen und sieben kleine weiße Füchse.,DE-R1-EDV65,,,
