language,noun,color,size,case,count_index,surface
ko,0,0,0,nom,,작은 빨간 개가
ko,0,0,0,acc,,작은 빨간 개를
ko,0,0,0,dat,,작은 빨간 개
ko,0,0,0,plural,0,작은 빨간 개 두 마리
ko,0,0,0,plural,1,작은 빨간 개 세 마리
ko,0,0,0,plural,2,작은 빨간 개 네 마리
ko,0,0,0,plural,3,작은 빨간 개 다섯 마리
ko,0,0,0,plural,4,작은 빨간 개 여섯 마리
ko,0,0,0,plural,5,작은 빨간 개 일곱 마리
ko,0,0,0,plural,6,작은 빨간 개 여덟 마리
ko,0,0,1,nom,,큰 빨간 개가
ko,0,0,1,acc,,큰 빨간 개를
ko,0,0,1,dat,,큰 빨간 개
ko,0,0,1,plural,0,큰 빨간 개 두 마리
ko,0,0,1,plural,1,큰 빨간 개 세 마리
ko,0,0,1,plural,2,큰 빨간 개 네 마리
ko,0,0,1,plural,3,큰 빨간 개 다섯 마리
ko,0,0,1,plural,4,큰 빨간 개 여섯 마리
ko,0,0,1,plural,5,큰 빨간 개 일곱 마리
ko,0,0,1,plural,6,큰 빨간 개 여덟 마리
ko,0,0,2,nom,,어린 빨간 개가
ko,0,0,2,acc,,어린 빨간 개를
ko,0,0,2,dat,,어린 빨간 개
ko,0,0,2,plural,0,어린 빨간 개 두 마리
ko,0,0,2,plural,1,어린 빨간 개 세 마리
ko,0,0,2,plural,2,어린 빨간 개 네 마리
ko,0,0,2,plural,3,어린 빨간 개 다섯 마리
ko,0,0,2,plural,4,어린 빨간 개 여섯 마리
ko,0,0,2,plural,5,어린 빨간 개 일곱 마리
ko,0,0,2,plural,6,어린 빨간 개 여덟 마리
ko,0,0,3,nom,,늙은 빨간 개가
ko,0,0,3,acc,,늙은 빨간 개를
ko,0,0,3,dat,,늙은 빨간 개
ko,0,0,3,plural,0,늙은 빨간 개 두 마리
ko,0,0,3,plural,1,늙은 빨간 개 세 마리
ko,0,0,3,plural,2,늙은 빨간 개 네 마리
ko,0,0,3,plural,3,늙은 빨간 개 다섯 마리
ko,0,0,3,plural,4,늙은 빨간 개 여섯 마리
ko,0,0,3,plural,5,늙은 빨간 개 일곱 마리
ko,0,0,3,plural,6,늙은 빨간 개 여덟 마리
ko,0,1,0,nom,,작은 파란 개가
ko,0,1,0,acc,,작은 파란 개를
ko,0,1,0,dat,,작은 파란 개
ko,0,1,0,plural,0,작은 파란 개 두 마리
ko,0,1,0,plural,1,작은 파란 개 세 마리
ko,0,1,0,plural,2,작은 파란 개 네 마리
ko,0,1,0,plural,3,작은 파란 개 다섯 마리
ko,0,1,0,plural,4,작은 파란 개 여섯 마리
ko,0,1,0,plural,5,작은 파란 개 일곱 마리
ko,0,1,0,plural,6,작은 파란 개 여덟 마리
ko,0,1,1,nom,,큰 파란 개가
ko,0,1,1,acc,,큰 파란 개를
ko,0,1,1,dat,,큰 파란 개
ko,0,1,1,plural,0,큰 파란 개 두 마리
ko,0,1,1,plural,1,큰 파란 개 세 마리
ko,0,1,1,plural,2,큰 파란 개 네 마리
ko,0,1,1,plural,3,큰 파란 개 다섯 마리
ko,0,1,1,plural,4,큰 파란 개 여섯 마리
ko,0,1,1,plural,5,큰 파란 개 일곱 마리
ko,0,1,1,plural,6,큰 파란 개 여덟 마리
ko,0,1,2,nom,,어린 파란 개가
ko,0,1,2,acc,,어린 파란 개를
ko,0,1,2,dat,,어린 파란 개
ko,0,1,2,plural,0,어린 파란 개 두 마리
ko,0,1,2,plural,1,어린 파란 개 세 마리
ko,0,1,2,plural,2,어린 파란 개 네 마리
ko,0,1,2,plural,3,어린 파란 개 다섯 마리
ko,0,1,2,plural,4,어린 파란 개 여섯 마리
ko,0,1,2,plural,5,어린 파란 개 일곱 마리
ko,0,1,2,plural,6,어린 파란 개 여덟 마리
ko,0,1,3,nom,,늙은 파란 개가
ko,0,1,3,acc,,늙은 파란 개를
ko,0,1,3,dat,,늙은 파란 개
ko,0,1,3,plural,0,늙은 파란 개 두 마리
ko,0,1,3,plural,1,늙은 파란 개 세 마리
ko,0,1,3,plural,2,늙은 파란 개 네 마리
ko,0,1,3,plural,3,늙은 파란 개 다섯 마리
ko,0,1,3,plural,4,늙은 파란 개 여섯 마리
ko,0,1,3,plural,5,늙은 파란 개 일곱 마리
ko,0,1,3,plural,6,늙은 파란 개 여덟 마리
ko,0,2,0,nom,,작은 초록색 개가
ko,0,2,0,acc,,작은 초록색 개를
ko,0,2,0,dat,,작은 초록색 개
ko,0,2,0,plural,0,작은 초록색 개 두 마리
ko,0,2,0,plural,1,작은 초록색 개 세 마리
ko,0,2,0,plural,2,작은 초록색 개 네 마리
ko,0,2,0,plural,3,작은 초록색 개 다섯 마리
ko,0,2,0,plural,4,작은 초록색 개 여섯 마리
ko,0,2,0,plural,5,작은 초록색 개 일곱 마리
ko,0,2,0,plural,6,작은 초록색 개 여덟 마리
ko,0,2,1,nom,,큰 초록색 개가
ko,0,2,1,acc,,큰 초록색 개를
ko,0,2,1,dat,,큰 초록색 개
ko,0,2,1,plural,0,큰 초록색 개 두 마리
ko,0,2,1,plural,1,큰 초록색 개 세 마리
ko,0,2,1,plural,2,큰 초록색 개 네 마리
ko,0,2,1,plural,3,큰 초록색 개 다섯 마리
ko,0,2,1,plural,4,큰 초록색 개 여섯 마리
ko,0,2,1,plural,5,큰 초록색 개 일곱 마리
ko,0,2,1,plural,6,큰 초록색 개 여덟 마리
ko,0,2,2,nom,,어린 초록색 개가
ko,0,2,2,acc,,어린 초록색 개를
ko,0,2,2,dat,,어린 초록색 개
ko,0,2,2,plural,0,어린 초록색 개 두 마리
ko,0,2,2,plural,1,어린 초록색 개 세 마리
ko,0,2,2,plural,2,어린 초록색 개 네 마리
ko,0,2,2,plural,3,어린 초록색 개 다섯 마리
ko,0,2,2,plural,4,어린 초록색 개 여섯 마리
ko,0,2,2,plural,5,어린 초록색 개 일곱 마리
