review_id,language,split,task,sentence_a,sentence_b,reviewer,judged_label,fluent,comment
7a79f1a097,en,test,space,"If the young black duck is to the left of the large yellow bear and the small black cow is to the right of the young black bear, a bell rings.","If the large yellow bear is to the left of the young black duck and the young black bear is to the right of the small black cow, a bell rings.",EN-R1-SSJKF,,,
3d126176b5,en,test,quantity,"If there are three small white ducks and five large blue cats, a bell rings.","If there are five large blue cats and three small white ducks, a bell rings.",EN-R1-SSJKF,,,
b4e41724a8,en,dev_b,space,Someone says that the young red dog is to the right of the large white rabbit and the small blue hen is to the left of the young yellow hen.,Someone says that the large white rabbit is to the right of the young red dog and the young yellow hen is to the left of the small blue hen.,EN-R1-SSJKF,,,
a48608db5c,en,train,roles,The small black cow greets the small blue hen and the small blue hen follows the small black cow.,The small blue hen is followed by the small black cow and the small black cow is greeted by the small blue hen.,EN-R1-SSJKF,,,
c75cc7bfbe,en,train,quantity,There are three small black horses and eight old white sheep.,There are three old white sheep and eight small black horses.,EN-R1-SSJKF,,,
cc51fb3b80,en,dev_b,negation,Someone says that the small yellow cow greets the small blue dog and the small blue dog does not greet the small yellow cow.,Someone says that the small blue dog is not greeted by the small yellow cow and the small yellow cow is greeted by the small blue dog.,EN-R1-SSJKF,,,
741b0b28ba,en,train,roles,The large blue cow greets the large blue cat and the large blue cat follows the large blue cow.,The large blue cat is followed by the large blue cow and the large blue cow is greeted by the large blue cat.,EN-R1-SSJKF,,,
2b7fc1116f,en,dev_b,space,Someone says that the young white rabbit is below the old blue horse and the old blue bear is above the small black bear.,Someone says that the old blue horse is above the young white rabbit and the small black bear is below the old blue bear.,EN-R1-SSJKF,,,
08311df8d4,en,dev_a,roles,Is it true that the large yellow lion greets the small black cat and the small black cat sees the large yellow lion?,Is it true that the small black cat is seen by the large yellow lion and the large yellow lion is greeted by the small black cat?,EN-R1-SSJKF,,,
7bb44e5d30,en,test,roles,"If the large green sheep greets the young white hen and the young white hen follows the large green sheep, a bell rings.","If the young white hen is followed by the large green sheep and the large green sheep is greeted by the young white hen, a bell rings.",EN-R1-SSJKF,,,
8f8ed481c1,en,dev_a,negation,Is it true that the small green hen greets the young white cow and the young white cow does not greet the small green hen?,Is it true that the young white cow is not greeted by the small green hen and the small green hen is greeted by the young white cow?,EN-R1-SSJKF,,,
87b3ba12ee,en,train,space,The young green mouse is to the right of the old white cat and the large white hen is to the left of the old black hen.,The old white cat is to the left of the young green mouse and the old black hen is to the right of the large white hen.,EN-R1-SSJKF,,,
e7c77acca7,en,dev_b,roles,Someone says that the old blue lion greets the old black horse and the old black horse follows the old blue lion.,Someone says that the old black horse is followed by the old blue lion and the old blue lion is greeted by the old black horse.,EN-R1-SSJKF,,,
5d9688628c,en,dev_a,space,Is it true that the large black lion is behind the young green sheep and the young yellow cow is in front of the small white cow?,Is it true that the young green sheep is behind the large black lion and the small white cow is in front of the young yellow cow?,EN-R1-SSJKF,,,
8295ea7c21,en,train,negation,The young green dog does not see the small white fox and the small white fox sees the young green dog.,The small white fox is not seen by the young green dog and the young green dog is seen by the small white fox.,EN-R1-SSJKF,,,
972d6309a7,en,train,negation,The old white dog greets the young black lion and the young black lion does not greet the old white dog.,The young black lion is greeted by the old white dog and the old white dog is not greeted by the young black lion.,EN-R1-SSJKF,,,
887fa577cc,en,dev_b,space,Someone says that the young black bear is above the small black duck and the young red hen is below the large yellow hen.,Someone says that the small black duck is above the young black bear and the large yellow hen is below the young red hen.,EN-R1-SSJKF,,,
bf3680ce25,en,train,space,The small red rabbit is below the small blue duck and the small white mouse is above the small blue horse.,The small blue duck is below the small red rabbit and the small blue horse is above the small white mouse.,EN-R1-SSJKF,,,
b6e319eeff,en,test,negation,"If the young yellow duck follows the old blue lion and the old blue lion does not follow the young yellow duck, a bell rings.","If the old blue lion is followed by the young yellow duck and the young yellow duck is not followed by the old blue lion, a bell rings.",EN-R1-SSJKF,,,
0b79bab028,en,train,roles,The old red cat sees the large black fox and the large black fox follows the old red cat.,The large black fox is seen by the old red cat and the old red cat is followed by the large black fox.,EN-R1-SSJKF,,,
43c7ba5c5a,en,dev_b,negation,Someone says that the young blue dog follows the small black rabbit and the small black rabbit does not follow the young blue dog.,Someone says that the small black rabbit is followed by the young blue dog and the young blue dog is not followed by the small black rabbit.,EN-R1-SSJKF,,,
ff5db30ce2,en,dev_a,roles,Is it true that the small black horse greets the large black lion and the large black lion follows the small black horse?,Is it true that the large black lion is greeted by the small black horse and the small black horse is followed by the large black lion?,EN-R1-SSJKF,,,
7cc1bf7809,en,dev_a,roles,Is it true that the old blue dog greets the young blue cow and the young blue cow sees the old blue dog?,Is it true that the young blue cow is greeted by the old blue dog and the old blue dog is seen by the young blue cow?,EN-R1-SSJKF,,,
abf0c0ba2a,en,test,roles,"If the young black bear sees the young blue cat and the young blue cat follows the young black bear, a bell rings.","If the young blue cat is followed by the young black bear and the young black bear is seen by the young blue cat, a bell rings.",EN-R1-SSJKF,,,
6434a85e3e,en,dev_a,roles,Is it true that the small white hen follows the small green dog and the small green dog greets the small white hen?,Is it true that the small green dog is followed by the small white hen and the small white hen is greeted by the small green dog?,EN-R1-SSJKF,,,
b09a9b360d,en,dev_b,space,Someone says that the small white lion is below the large green fox and the large red lion is above the young blue hen.,Someone says that the large green fox is above the small white lion and the young blue hen is below the large red lion.,EN-R1-SSJKF,,,
6bb427955d,en,dev_b,space,Someone says that the old yellow rabbit is behind the small blue dog and the large black lion is in front of the old green fox.,Someone says that the small blue dog is behind the old yellow rabbit and the old green fox is in front of the large black lion.,EN-R1-SSJKF,,,
6de7586d7d,en,dev_a,space,Is it true that the old white rabbit is in front of the large red rabbit and the large blue cow is behind the large blue dog?,Is it true that the large red rabbit is behind the old white rabbit and the large blue dog is in front of the large blue cow?,EN-R1-SSJKF,,,
