review_id,language,split,task,sentence_a,sentence_b,reviewer,judged_label,fluent,comment
2a48b0710b,de,train,quantity,Es gibt zwei kleine weiße Katzen und sechs große schwarze Katzen.,Es gibt zwei große schwarze Katzen und sechs kleine weiße Katzen.,DE-R2-WKGG7,,,
f49b71130e,de,train,space,Das alte gelbe Huhn ist links von dem alten schwarzen Hund und der alte grüne Löwe ist rechts von dem großen schwarzen Pferd.,Der alte schwarze Hund ist rechts von dem alten gelben Huhn und das große schwarze Pferd ist links von dem alten grünen Löwen.,DE-R2-WKGG7,,,
4410c54fef,de,test,space,"Wenn die alte grüne Katze hinter der großen roten Ente ist und der große gelbe Hund vor dem großen blauen Schaf ist, klingelt eine Glocke.","Wenn die große rote Ente hinter der alten grünen Katze ist und das große blaue Schaf vor dem großen gelben Hund ist, klingelt eine Glocke.",DE-R2-WKGG7,,,
e5afdd9228,de,train,space,Das große weiße Kaninchen ist vor der großen blauen Maus und die große weiße Ente ist hinter dem kleinen roten Huhn.,Die große blaue Maus ist vor dem großen weißen Kaninchen und das kleine rote Huhn ist hinter der großen weißen Ente.,DE-R2-WKGG7,,,
6597a3e285,de,dev_a,roles,"Stimmt es, dass der junge rote Fuchs das junge rote Huhn sieht und das junge rote Huhn den jungen roten Fuchs grüßt?","Stimmt es, dass das junge rote Huhn von dem jungen roten Fuchs gegrüßt wird und der junge rote Fuchs von dem jungen roten Huhn gesehen wird?",DE-R2-WKGG7,,,
9f3349551f,de,train,space,Das alte blaue Huhn ist hinter dem großen blauen Huhn und das kleine grüne Huhn ist vor der kleinen gelben Katze.,Das große blaue Huhn ist vor dem alten blauen Huhn und die kleine gelbe Katze ist hinter dem kleinen grünen Huhn.,DE-R2-WKGG7,,,
4565211b2c,de,test,negation,"Wenn das große gelbe Schaf das junge rote Pferd nicht grüßt und das junge rote Pferd das große gelbe Schaf grüßt, klingelt eine Glocke.","Wenn das junge rote Pferd von dem großen gelben Schaf gegrüßt wird und das große gelbe Schaf nicht von dem jungen roten Pferd gegrüßt wird, klingelt eine Glocke.",DE-R2-WKGG7,,,
983152d75c,de,dev_a,space,"Stimmt es, dass die junge blaue Maus links von der jungen roten Kuh ist und das große weiße Schaf rechts von dem jungen blauen Fuchs ist?","Stimmt es, dass die junge rote Kuh rechts von der jungen blauen Maus ist und der junge blaue Fuchs links von dem großen weißen Schaf ist?",DE-R2-WKGG7,,,
6f8a28b4e4,de,dev_b,space,"Jemand sagt, dass der alte gelbe Hund links von der jungen grünen Katze ist und die große grüne Ente rechts von dem großen blauen Kaninchen ist.","Jemand sagt, dass die junge grüne Katze rechts von dem alten gelben Hund ist und das große blaue Kaninchen links von der großen grünen Ente ist.",DE-R2-WKGG7,,,
bb52edd8b4,de,dev_a,space,"Stimmt es, dass der alte gelbe Bär links von dem kleinen grünen Bären ist und das große rote Kaninchen rechts von dem kleinen grünen Löwen ist?","Stimmt es, dass der kleine grüne Bär links von dem alten gelben Bären ist und der kleine grüne Löwe rechts von dem großen roten Kaninchen ist?",DE-R2-WKGG7,,,
