review_id,language,split,task,sentence_a,sentence_b,reviewer,judged_label,fluent,comment
103eb79d5f,en,train,negation,The large yellow horse does not greet the small black sheep and the small black sheep greets the large yellow horse.,The small black sheep is greeted by the large yellow horse and the large yellow horse is not greeted by the small black sheep.,EN-R2-G4A2V,,,
060b1b5d3e,en,dev_a,space,Is it true that the large blue dog is to the right of the small white hen and the small yellow mouse is to the left of the young red hen?,Is it true that the small white hen is to the left of the large blue dog and the young red hen is to the right of the small yellow mouse?,EN-R2-G4A2V,,,
8896b55f16,en,train,negation,The old red bear does not greet the large blue cat and the large blue cat greets the old red bear.,The large blue cat is not greeted by the old red bear and the old red bear is greeted by the large blue cat.,EN-R2-G4A2V,,,
f438029e65,en,dev_a,roles,Is it true that the small yellow mouse follows the large green lion and the large green lion greets the small yellow mouse?,Is it true that the large green lion is greeted by the small yellow mouse and the small yellow mouse is followed by the large green lion?,EN-R2-G4A2V,,,
8b40ba701a,en,dev_a,quantity,Is it true that there are three young black hens and five young green bears?,Is it true that there are three young green bears and five young black hens?,EN-R2-G4A2V,,,
5254ad8c24,en,dev_b,quantity,Someone says that there are two large white bears and three old black ducks.,Someone says that there are three old black ducks and two large white bears.,EN-R2-G4A2V,,,
c1089c79cb,en,dev_b,quantity,Someone says that there are five old white cats and two old white sheep.,Someone says that there are five old white sheep and two old white cats.,EN-R2-G4A2V,,,
ace93581a7,en,train,quantity,There are six small black mice and five large red bears.,There are five large red bears and six small black mice.,EN-R2-G4A2V,,,
5475feeb3e,en,train,roles,The small black cow greets the small blue hen and the small blue hen follows the small black cow.,The small blue hen is followed by the small black cow and the small black cow is greeted by the small blue hen.,EN-R2-G4A2V,,,
836fa26684,en,dev_b,roles,Someone says that the large black mouse sees the small black bear and the small black bear greets the large black mouse.,Someone says that the small black bear is greeted by the large black mouse and the large black mouse is seen by the small black bear.,EN-R2-G4A2V,,,
eb45e4db7c,en,train,quantity,There are seven large black mice and four old red rabbits.,There are seven old red rabbits and four large black mice.,EN-R2-G4A2V,,,
572c598e75,en,test,quantity,"If there are three large white bears and four young green bears, a bell rings.","If there are three young green bears and four large white bears, a bell rings.",EN-R2-G4A2V,,,
55fd1f1971,en,train,space,The large blue cow is above the young yellow dog and the young black bear is below the small white duck.,The young yellow dog is below the large blue cow and the small white duck is above the young black bear.,EN-R2-G4A2V,,,
ad76d45967,en,test,negation,"If the small yellow sheep does not greet the young blue cat and the young blue cat greets the small yellow sheep, a bell rings.","If the young blue cat is greeted by the small yellow sheep and the small yellow sheep is not greeted by the young blue cat, a bell rings.",EN-R2-G4A2V,,,
8e2e7e9d5a,en,test,negation,"If the large red cow sees the large black cow and the large black cow does not see the large red cow, a bell rings.","If the large black cow is not seen by the large red cow and the large red cow is seen by the large black cow, a bell rings.",EN-R2-G4A2V,,,
9d70e06ef9,en,test,roles,"If the small blue lion greets the large white hen and the large white hen sees the small blue lion, a bell rings.","If the large white hen is greeted by the small blue lion and the small blue lion is seen by the large white hen, a bell rings.",EN-R2-G4A2V,,,
c7209d6cf7,en,dev_a,space,Is it true that the large black lion is behind the young green sheep and the young yellow cow is in front of the small white cow?,Is it true that the young green sheep is behind the large black lion and the small white cow is in front of the young yellow cow?,EN-R2-G4A2V,,,
5b1744ffb9,en,train,space,The small black horse is below the small yellow fox and the old black fox is above the small green mouse.,The small yellow fox is below the small black horse and the small green mouse is above the old black fox.,EN-R2-G4A2V,,,
f1c186bd5f,en,dev_b,negation,Someone says that the old blue dog does not follow the young yellow sheep and the young yellow sheep follows the old blue dog.,Someone says that the young yellow sheep is followed by the old blue dog and the old blue dog is not followed by the young yellow sheep.,EN-R2-G4A2V,,,
91ac1d8d9a,en,test,negation,"If the large white cat greets the old red cow and the old red cow does not greet the large white cat, a bell rings.","If the old red cow is greeted by the large white cat and the large white cat is not greeted by the old red cow, a bell rings.",EN-R2-G4A2V,,,
99d10c4d2d,en,dev_a,quantity,Is it true that there are four large white dogs and eight old black horses?,Is it true that there are eight old black horses and four large white dogs?,EN-R2-G4A2V,,,
f9ba1f4222,en,train,quantity,There are seven small green lions and six young black lions.,There are six young black lions and seven small green lions.,EN-R2-G4A2V,,,
c39ae13d41,en,test,space,"If the small white horse is below the old yellow cat and the old green lion is above the large yellow bear, a bell rings.","If the old yellow cat is below the small white horse and the large yellow bear is above the old green lion, a bell rings.",EN-R2-G4A2V,,,
09d52d391c,en,dev_b,negation,Someone says that the young red horse greets the old black cat and the old black cat does not greet the young red horse.,Someone says that the old black cat is not greeted by the young red horse and the young red horse is greeted by the old black cat.,EN-R2-G4A2V,,,
113a0b5caa,en,train,negation,The old white dog greets the young black lion and the young black lion does not greet the old white dog.,The young black lion is greeted by the old white dog and the old white dog is not greeted by the young black lion.,EN-R2-G4A2V,,,
b16c9ea182,en,train,space,The young blue cow is in front of the small yellow bear and the young yellow mouse is behind the young yellow cow.,The small yellow bear is in front of the young blue cow and the young yellow cow is behind the young yellow mouse.,EN-R2-G4A2V,,,
2ee48948ea,en,dev_a,quantity,Is it true that there are six old red bears and five old black bears?,Is it true that there are five old black bears and six old red bears?,EN-R2-G4A2V,,,
b874ba9249,en,train,negation,The large black cow does not greet the old yellow cat and the old yellow cat greets the large black cow.,The old yellow cat is greeted by the large black cow and the large black cow is not greeted by the old yellow cat.,EN-R2-G4A2V,,,
4acc45dc68,en,dev_a,roles,Is it true that the small black horse greets the large black lion and the large black lion follows the small black horse?,Is it true that the large black lion is greeted by the small black horse and the small black horse is followed by the large black lion?,EN-R2-G4A2V,,,
53dcacc3bc,en,train,space,The young red bear is behind the old green bear and the young white rabbit is in front of the large black bear.,The old green bear is in front of the young red bear and the large black bear is behind the young white rabbit.,EN-R2-G4A2V,,,
bd8c080b18,en,train,negation,The young yellow bear greets the young yellow horse and the young yellow horse does not greet the young yellow bear.,The young yellow horse is not greeted by the young yellow bear and the young yellow bear is greeted by the young yellow horse.,EN-R2-G4A2V,,,
11979d38ee,en,test,roles,"If the large black rabbit follows the large yellow horse and the large yellow horse sees the large black rabbit, a bell rings.","If the large yellow horse is seen by the large black rabbit and the large black rabbit is followed by the large yellow horse, a bell rings.",EN-R2-G4A2V,,,
f1c7f2e713,en,dev_b,roles,Someone says that the old green sheep sees the old white cat and the old white cat greets the old green sheep.,Someone says that the old white cat is seen by the old green sheep and the old green sheep is greeted by the old white cat.,EN-R2-G4A2V,,,
2e7ee62e10,en,dev_a,negation,Is it true that the large yellow rabbit does not follow the old green rabbit and the old green rabbit follows the large yellow rabbit?,Is it true that the old green rabbit is followed by the large yellow rabbit and the large yellow rabbit is not followed by the old green rabbit?,EN-R2-G4A2V,,,
4fe5588d89,en,dev_b,quantity,Someone says that there are four old white rabbits and eight large red rabbits.,Someone says that there are eight large red rabbits and four old white rabbits.,EN-R2-G4A2V,,,
21f4700daf,en,dev_b,roles,Someone says that the small green dog sees the small black fox and the small black fox follows the small green dog.,Someone says that the small black fox is followed by the small green dog and the small green dog is seen by the small black fox.,EN-R2-G4A2V,,,
12bf4f08fc,en,test,quantity,"If there are two old yellow cats and four old yellow bears, a bell rings.","If there are four old yellow bears and two old yellow cats, a bell rings.",EN-R2-G4A2V,,,
1cbda19be3,en,dev_a,quantity,Is it true that there are five small red horses and four old blue dogs?,Is it true that there are five old blue dogs and four small red horses?,EN-R2-G4A2V,,,
caff9b928c,en,dev_b,roles,Someone says that the small black cow follows the old red cat and the old red cat greets the small black cow.,Someone says that the old red cat is greeted by the small black cow and the small black cow is followed by the old red cat.,EN-R2-G4A2V,,,
26c1784b29,en,dev_b,negation,Someone says that the small green hen does not see the old blue hen and the old blue hen sees the small green hen.,Someone says that the old blue hen is not seen by the small green hen and the small green hen is seen by the old blue hen.,EN-R2-G4A2V,,,
87b336c0bc,en,dev_b,negation,Someone says that the young blue dog follows the small black rabbit and the small black rabbit does not follow the young blue dog.,Someone says that the small black rabbit is followed by the young blue dog and the young blue dog is not followed by the small black rabbit.,EN-R2-G4A2V,,,
c2a550e258,en,test,space,"If the young blue bear is behind the old black sheep and the old black dog is in front of the large white horse, a bell rings.","If the old black sheep is behind the young blue bear and the large white horse is in front of the old black dog, a bell rings.",EN-R2-G4A2V,,,
1e94010a4d,en,train,negation,The old red sheep follows the young white hen and the young white hen does not follow the old red sheep.,The young white hen is not followed by the old red sheep and the old red sheep is followed by the young white hen.,EN-R2-G4A2V,,,
88829e52fe,en,dev_b,quantity,Someone says that there are five small blue cats and eight large red bears.,Someone says that there are five large red bears and eight small blue cats.,EN-R2-G4A2V,,,
ba61013da9,en,test,roles,"If the young green cat follows the large green dog and the large green dog greets the young green cat, a bell rings.","If the large green dog is followed by the young green cat and the young green cat is greeted by the large green dog, a bell rings.",EN-R2-G4A2V,,,
0779d2a1dd,en,dev_b,space,Someone says that the young blue dog is in front of the young yellow cat and the old yellow sheep is behind the small red duck.,Someone says that the young yellow cat is in front of the young blue dog and the small red duck is behind the old yellow sheep.,EN-R2-G4A2V,,,
7ef576f8c4,en,test,space,"If the old yellow mouse is in front of the small white rabbit and the old blue lion is behind the large white fox, a bell rings.","If the small white rabbit is behind the old yellow mouse and the large white fox is in front of the old blue lion, a bell rings.",EN-R2-G4A2V,,,
b9213fe0ca,en,train,negation,The large red hen does not greet the small green hen and the small green hen greets the large red hen.,The small green hen is greeted by the large red hen and the large red hen is not greeted by the small green hen.,EN-R2-G4A2V,,,
f2f17f5a0b,en,test,negation,"If the young white cat does not greet the large blue mouse and the large blue mouse greets the young white cat, a bell rings.","If the large blue mouse is not greeted by the young white cat and the young white cat is greeted by the large blue mouse, a bell rings.",EN-R2-G4A2V,,,
895ce187da,en,train,space,The old yellow rabbit is to the left of the young black bear and the small yellow horse is to the right of the large green cat.,The young black bear is to the right of the old yellow rabbit and the large green cat is to the left of the small yellow horse.,EN-R2-G4A2V,,,
4a00f14582,en,dev_a,quantity,Is it true that there are seven old black sheep and three small black hens?,Is it true that there are seven small black hens and three old black sheep?,EN-R2-G4A2V,,,
fcf74ca9ee,en,dev_a,quantity,Is it true that there are five young yellow cows and eight old red cows?,Is it true that there are five old red cows and eight young yellow cows?,EN-R2-G4A2V,,,
9fe29cc64c,en,train,roles,The large blue cow greets the large blue cat and the large blue cat follows the large blue cow.,The large blue cat is followed by the large blue cow and the large blue cow is greeted by the large blue cat.,EN-R2-G4A2V,,,
5118e327d4,en,dev_a,quantity,Is it true that there are six young yellow horses and four young yellow bears?,Is it true that there are six young yellow bears and four young yellow horses?,EN-R2-G4A2V,,,
53cd98e3d9,en,dev_b,space,Someone says that the young black bear is above the small black duck and the young red hen is below the large yellow hen.,Someone says that the small black duck is above the young black bear and the large yellow hen is below the young red hen.,EN-R2-G4A2V,,,
351ba8faa6,en,train,roles,The small red cow sees the small blue hen and the small blue hen follows the small red cow.,The small blue hen is seen by the small red cow and the small red cow is followed by the small blue hen.,EN-R2-G4A2V,,,
de806995f9,en,train,roles,The small blue bear follows the young black bear and the young black bear sees the small blue bear.,The young black bear is seen by the small blue bear and the small blue bear is followed by the young black bear.,EN-R2-G4A2V,,,
9d25cb7ded,en,train,space,The young blue hen is to the left of the small yellow lion and the small red cat is to the right of the old green sheep.,The small yellow lion is to the right of the young blue hen and the old green sheep is to the left of the small red cat.,EN-R2-G4A2V,,,
619b423adb,en,test,quantity,"If there are three small white ducks and five large blue cats, a bell rings.","If there are five large blue cats and three small white ducks, a bell rings.",EN-R2-G4A2V,,,
324a4eab64,en,dev_b,roles,Someone says that the old green duck follows the young blue rabbit and the young blue rabbit greets the old green duck.,Someone says that the young blue rabbit is followed by the old green duck and the old green duck is greeted by the young blue rabbit.,EN-R2-G4A2V,,,
f3ac306da8,en,dev_a,quantity,Is it true that there are two small white horses and five young red foxes?,Is it true that there are five young red foxes and two small white horses?,EN-R2-G4A2V,,,
8a1e7d68f5,en,test,space,"If the large black dog is below the small green dog and the young white lion is above the small red hen, a bell rings.","If the small green dog is above the large black dog and the small red hen is below the young white lion, a bell rings.",EN-R2-G4A2V,,,
cf19231a74,en,dev_b,quantity,Someone says that there are five old green mice and four old red foxes.,Someone says that there are four old red foxes and five old green mice.,EN-R2-G4A2V,,,
