language,split,task,verb,neg,sentence_a,sentence_b
ko,train,roles,1,False,늙은 파란 사자가 늙은 검은 개를 맞이한다는 것과 늙은 검은 개가 늙은 파란 사자를 본다는 것이 모두 사실이다.,늙은 검은 개를 늙은 파란 사자가 본다는 것과 늙은 파란 사자를 늙은 검은 개가 맞이한다는 것이 모두 사실이다.
ko,train,roles,1,False,늙은 파란 사자가 늙은 검은 개를 맞이한다는 것과 늙은 검은 개가 늙은 파란 사자를 본다는 것이 모두 사실이다.,늙은 검은 개를 늙은 파란 사자가 맞이한다는 것과 늙은 파란 사자를 늙은 검은 개가 본다는 것이 모두 사실이다.
ko,train,roles,0,False,어린 파란 개가 어린 하얀 소를 본다는 것과 어린 하얀 소가 어린 파란 개를 뒤따른다는 것이 모두 사실이다.,어린 하얀 소를 어린 파란 개가 뒤따른다는 것과 어린 파란 개를 어린 하얀 소가 본다는 것이 모두 사실이다.
ko,train,roles,0,False,어린 파란 개가 어린 하얀 소를 본다는 것과 어린 하얀 소가 어린 파란 개를 뒤따른다는 것이 모두 사실이다.,어린 하얀 소를 어린 파란 개가 본다는 것과 어린 파란 개를 어린 하얀 소가 뒤따른다는 것이 모두 사실이다.
ko,train,roles,2,False,어린 빨간 말이 어린 빨간 곰을 뒤따른다는 것과 어린 빨간 곰이 어린 빨간 말을 본다는 것이 모두 사실이다.,어린 빨간 곰을 어린 빨간 말이 본다는 것과 어린 빨간 말을 어린 빨간 곰이 뒤따른다는 것이 모두 사실이다.
ko,train,roles,2,False,어린 빨간 말이 어린 빨간 곰을 뒤따른다는 것과 어린 빨간 곰이 어린 빨간 말을 본다는 것이 모두 사실이다.,어린 빨간 곰을 어린 빨간 말이 뒤따른다는 것과 어린 빨간 말을 어린 빨간 곰이 본다는 것이 모두 사실이다.
ko,train,negation,0,True,큰 노란 여우가 큰 하얀 사자를 보지 않는다는 것과 큰 하얀 사자가 큰 노란 여우를 본다는 것이 모두 사실이다.,큰 하얀 사자를 큰 노란 여우가 본다는 것과 큰 노란 여우를 큰 하얀 사자가 보지 않는다는 것이 모두 사실이다.
ko,train,negation,0,True,큰 노란 여우가 큰 하얀 사자를 보지 않는다는 것과 큰 하얀 사자가 큰 노란 여우를 본다는 것이 모두 사실이다.,큰 하얀 사자를 큰 노란 여우가 보지 않는다는 것과 큰 노란 여우를 큰 하얀 사자가 본다는 것이 모두 사실이다.
ko,train,negation,0,False,어린 하얀 개가 큰 노란 소를 본다는 것과 큰 노란 소가 어린 하얀 개를 보지 않는다는 것이 모두 사실이다.,큰 노란 소를 어린 하얀 개가 보지 않는다는 것과 어린 하얀 개를 큰 노란 소가 본다는 것이 모두 사실이다.
ko,train,negation,0,False,어린 하얀 개가 큰 노란 소를 본다는 것과 큰 노란 소가 어린 하얀 개를 보지 않는다는 것이 모두 사실이다.,큰 노란 소를 어린 하얀 개가 본다는 것과 어린 하얀 개를 큰 노란 소가 보지 않는다는 것이 모두 사실이다.
ko,train,negation,1,False,작은 하얀 사자가 작은 초록색 닭을 맞이한다는 것과 작은 초록색 닭이 작은 하얀 사자를 맞이하지 않는다는 것이 모두 사실이다.,작은 초록색 닭을 작은 하얀 사자가 맞이하지 않는다는 것과 작은 하얀 사자를 작은 초록색 닭이 맞이한다는 것이 모두 사실이다.
ko,train,negation,1,False,작은 하얀 사자가 작은 초록색 닭을 맞이한다는 것과 작은 초록색 닭이 작은 하얀 사자를 맞이하지 않는다는 것이 모두 사실이다.,작은 초록색 닭을 작은 하얀 사자가 맞이한다는 것과 작은 하얀 사자를 작은 초록색 닭이 맞이하지 않는다는 것이 모두 사실이다.
ko,train,negation,2,True,작은 하얀 소가 큰 초록색 사자를 뒤따르지 않는다는 것과 큰 초록색 사자가 작은 하얀 소를 뒤따른다는 것이 모두 사실이다.,큰 초록색 사자를 작은 하얀 소가 뒤따른다는 것과 작은 하얀 소를 큰 초록색 사자가 뒤따르지 않는다는 것이 모두 사실이다.
ko,train,negation,2,True,작은 하얀 소가 큰 초록색 사자를 뒤따르지 않는다는 것과 큰 초록색 사자가 작은 하얀 소를 뒤따른다는 것이 모두 사실이다.,큰 초록색 사자를 작은 하얀 소가 뒤따르지 않는다는 것과 작은 하얀 소를 큰 초록색 사자가 뒤따른다는 것이 모두 사실이다.
