language,split,task,verb,neg,sentence_a,sentence_b
en,train,roles,1,False,The old blue lion greets the old black dog and the old black dog sees the old blue lion.,The old black dog is seen by the old blue lion and the old blue lion is greeted by the old black dog.
en,train,roles,1,False,The old blue lion greets the old black dog and the old black dog sees the old blue lion.,The old black dog is greeted by the old blue lion and the old blue lion is seen by the old black dog.
en,train,roles,0,False,The young blue dog sees the young white cow and the young white cow follows the young blue dog.,The young white cow is followed by the young blue dog and the young blue dog is seen by the young white cow.
en,train,roles,0,False,The young blue dog sees the young white cow and the young white cow follows the young blue dog.,The young white cow is seen by the young blue dog and the young blue dog is followed by the young white cow.
en,train,roles,2,False,The young red horse follows the young red bear and the young red bear sees the young red horse.,The young red bear is seen by the young red horse and the young red horse is followed by the young red bear.
en,train,roles,2,False,The young red horse follows the young red bear and the young red bear sees the young red horse.,The young red bear is followed by the young red horse and the young red horse is seen by the young red bear.
en,train,negation,0,True,The large yellow fox does not see the large white lion and the large white lion sees the large yellow fox.,The large white lion is seen by the large yellow fox and the large yellow fox is not seen by the large white lion.
en,train,negation,0,True,The large yellow fox does not see the large white lion and the large white lion sees the large yellow fox.,The large white lion is not seen by the large yellow fox and the large yellow fox is seen by the large white lion.
en,train,negation,0,False,The young white dog sees the large yellow cow and the large yellow cow does not see the young white dog.,The large yellow cow is not seen by the young white dog and the young white dog is seen by the large yellow cow.
en,train,negation,0,False,The young white dog sees the large yellow cow and the large yellow cow does not see the young white dog.,The large yellow cow is seen by the young white dog and the young white dog is not seen by the large yellow cow.
en,train,negation,1,False,The small white lion greets the small green hen and the small green hen does not greet the small white lion.,The small green hen is not greeted by the small white lion and the small white lion is greeted by the small green hen.
en,train,negation,1,False,The small white lion greets the small green hen and the small green hen does not greet the small white lion.,The small green hen is greeted by the small white lion and the small white lion is not greeted by the small green hen.
en,train,negation,2,True,The small white cow does not follow the large green lion and the large green lion follows the small white cow.,The large green lion is followed by the small white cow and the small white cow is not followed by the large green lion.
en,train,negation,2,True,The small white cow does not follow the large green lion and the large green lion follows the small white cow.,The large green lion is not followed by the small white cow and the small white cow is followed by the large green lion.
en,train,negation,2,False,The small red cat follows the young white hen and the young white hen does not follow the small red cat.,The young white hen is not followed by the small red cat and the small red cat is followed by the young white hen.
en,train,negation,2,False,The small red cat follows the young white hen and the young white hen does not follow the small red cat.,The young white hen is followed by the small red cat and the small red cat is not followed by the young white hen.
en,train,negation,1,True,The large red horse does not greet the large red lion and the large red lion greets the large red horse.,The large red lion is greeted by the large red horse and the large red horse is not greeted by the large red lion.
en,train,negation,1,True,The large red horse does not greet the large red lion and the large red lion greets the large red horse.,The large red lion is not greeted by the large red horse and the large red horse is greeted by the large red lion.
en,train,space,1,True,The small yellow lion is to the left of the young blue bear and the small green rabbit is to the right of the small green cat.,The young blue bear is to the left of the small yellow lion and the small green cat is to the right of the small green rabbit.
en,train,space,1,True,The small yellow lion is to the left of the young blue bear and the small green rabbit is to the right of the small green cat.,The young blue bear is to the right of the small yellow lion and the small green cat is to the left of the small green rabbit.
