language,noun,color,attribute,case,count_index,surface
en,dog,red,small,nom,,the small red dog
en,dog,red,small,acc,,the small red dog
en,dog,red,small,dat,,the small red dog
en,dog,red,small,plural,0,two small red dogs
en,dog,red,small,plural,1,three small red dogs
en,dog,red,small,plural,2,four small red dogs
en,dog,red,small,plural,3,five small red dogs
en,dog,red,small,plural,4,six small red dogs
en,dog,red,small,plural,5,seven small red dogs
en,dog,red,small,plural,6,eight small red dogs
en,dog,red,large,nom,,the large red dog
en,dog,red,large,acc,,the large red dog
en,dog,red,large,dat,,the large red dog
en,dog,red,large,plural,0,two large red dogs
en,dog,red,large,plural,1,three large red dogs
en,dog,red,large,plural,2,four large red dogs
en,dog,red,large,plural,3,five large red dogs
en,dog,red,large,plural,4,six large red dogs
en,dog,red,large,plural,5,seven large red dogs
en,dog,red,large,plural,6,eight large red dogs
en,dog,red,young,nom,,the young red dog
en,dog,red,young,acc,,the young red dog
en,dog,red,young,dat,,the young red dog
en,dog,red,young,plural,0,two young red dogs
en,dog,red,young,plural,1,three young red dogs
en,dog,red,young,plural,2,four young red dogs
en,dog,red,young,plural,3,five young red dogs
en,dog,red,young,plural,4,six young red dogs
en,dog,red,young,plural,5,seven young red dogs
en,dog,red,young,plural,6,eight young red dogs
en,dog,red,old,nom,,the old red dog
en,dog,red,old,acc,,the old red dog
en,dog,red,old,dat,,the old red dog
en,dog,red,old,plural,0,two old red dogs
en,dog,red,old,plural,1,three old red dogs
en,dog,red,old,plural,2,four old red dogs
en,dog,red,old,plural,3,five old red dogs
en,dog,red,old,plural,4,six old red dogs
en,dog,red,old,plural,5,seven old red dogs
en,dog,red,old,plural,6,eight old red dogs
en,dog,blue,small,nom,,the small blue dog
en,dog,blue,small,acc,,the small blue dog
en,dog,blue,small,dat,,the small blue dog
en,dog,blue,small,plural,0,two small blue dogs
en,dog,blue,small,plural,1,three small blue dogs
en,dog,blue,small,plural,2,four small blue dogs
en,dog,blue,small,plural,3,five small blue dogs
