review_id,language,split,task,sentence_a,sentence_b,reviewer,judged_label,fluent,comment
60cc4c0ef0,ko,train,space,작은 하얀 곰은 어린 빨간 곰의 왼쪽에 있다는 것과 어린 노란 말은 어린 빨간 양의 오른쪽에 있다는 것이 모두 사실이다.,어린 빨간 곰은 작은 하얀 곰의 왼쪽에 있다는 것과 어린 빨간 양은 어린 노란 말의 오른쪽에 있다는 것이 모두 사실이다.,KO-R2-Q73JV,,,
f93c43c251,ko,dev_a,negation,어린 파란 쥐가 작은 노란 여우를 뒤따른다는 것과 작은 노란 여우가 어린 파란 쥐를 뒤따르지 않는다는 것이 모두 사실이라는 것이 사실인가?,작은 노란 여우를 어린 파란 쥐가 뒤따른다는 것과 어린 파란 쥐를 작은 노란 여우가 뒤따르지 않는다는 것이 모두 사실이라는 것이 사실인가?,KO-R2-Q73JV,,,
ffd0111c66,ko,train,space,어린 하얀 양은 늙은 초록색 고양이의 오른쪽에 있다는 것과 작은 하얀 말은 늙은 노란 닭의 왼쪽에 있다는 것이 모두 사실이다.,늙은 초록색 고양이는 어린 하얀 양의 오른쪽에 있다는 것과 늙은 노란 닭은 작은 하얀 말의 왼쪽에 있다는 것이 모두 사실이다.,KO-R2-Q73JV,,,
f305662db7,ko,test,roles,만약 작은 초록색 말이 큰 초록색 여우를 맞이한다는 것과 큰 초록색 여우가 작은 초록색 말을 본다는 것이 모두 사실이라면 종이 울린다.,만약 큰 초록색 여우를 작은 초록색 말이 맞이한다는 것과 작은 초록색 말을 큰 초록색 여우가 본다는 것이 모두 사실이라면 종이 울린다.,KO-R2-Q73JV,,,
0e050b7fc2,ko,test,space,만약 늙은 검은 닭은 어린 빨간 고양이의 앞에 있다는 것과 큰 빨간 양은 어린 빨간 오리의 뒤에 있다는 것이 모두 사실이라면 종이 울린다.,만약 어린 빨간 고양이는 늙은 검은 닭의 앞에 있다는 것과 어린 빨간 오리는 큰 빨간 양의 뒤에 있다는 것이 모두 사실이라면 종이 울린다.,KO-R2-Q73JV,,,
73994f7676,ko,train,roles,큰 하얀 닭이 큰 빨간 쥐를 뒤따른다는 것과 큰 빨간 쥐가 큰 하얀 닭을 맞이한다는 것이 모두 사실이다.,큰 빨간 쥐를 큰 하얀 닭이 맞이한다는 것과 큰 하얀 닭을 큰 빨간 쥐가 뒤따른다는 것이 모두 사실이다.,KO-R2-Q73JV,,,
71abaea73c,ko,train,space,작은 초록색 고양이는 큰 빨간 양의 뒤에 있다는 것과 큰 빨간 곰은 작은 하얀 사자의 앞에 있다는 것이 모두 사실이다.,큰 빨간 양은 작은 초록색 고양이의 앞에 있다는 것과 작은 하얀 사자는 큰 빨간 곰의 뒤에 있다는 것이 모두 사실이다.,KO-R2-Q73JV,,,
42ef84f4bf,ko,train,negation,늙은 빨간 토끼가 큰 파란 양을 뒤따른다는 것과 큰 파란 양이 늙은 빨간 토끼를 뒤따르지 않는다는 것이 모두 사실이다.,큰 파란 양을 늙은 빨간 토끼가 뒤따르지 않는다는 것과 늙은 빨간 토끼를 큰 파란 양이 뒤따른다는 것이 모두 사실이다.,KO-R2-Q73JV,,,
00e2fe181e,ko,test,negation,만약 작은 초록색 양이 작은 초록색 고양이를 보지 않는다는 것과 작은 초록색 고양이가 작은 초록색 양을 본다는 것이 모두 사실이라면 종이 울린다.,만약 작은 초록색 고양이를 작은 초록색 양이 보지 않는다는 것과 작은 초록색 양을 작은 초록색 고양이가 본다는 것이 모두 사실이라면 종이 울린다.,KO-R2-Q73JV,,,
50d6614670,ko,train,quantity,큰 하얀 소 두 마리와 어린 초록색 토끼 여섯 마리가 있다.,어린 초록색 토끼 여섯 마리와 큰 하얀 소 두 마리가 있다.,KO-R2-Q73JV,,,
5434d45879,ko,test,negation,만약 작은 노란 양이 어린 파란 고양이를 맞이하지 않는다는 것과 어린 파란 고양이가 작은 노란 양을 맞이한다는 것이 모두 사실이라면 종이 울린다.,만약 어린 파란 고양이를 작은 노란 양이 맞이하지 않는다는 것과 작은 노란 양을 어린 파란 고양이가 맞이한다는 것이 모두 사실이라면 종이 울린다.,KO-R2-Q73JV,,,
0435aaeee1,ko,train,space,늙은 빨간 고양이는 늙은 파란 토끼의 오른쪽에 있다는 것과 늙은 파란 사자는 어린 검은 소의 왼쪽에 있다는 것이 모두 사실이다.,늙은 파란 토끼는 늙은 빨간 고양이의 오른쪽에 있다는 것과 어린 검은 소는 늙은 파란 사자의 왼쪽에 있다는 것이 모두 사실이다.,KO-R2-Q73JV,,,
baec63bb2b,ko,dev_b,negation,큰 파란 양이 어린 하얀 소를 뒤따르지 않는다는 것과 어린 하얀 소가 큰 파란 양을 뒤따른다는 것이 모두 사실이라고 누군가 말한다.,어린 하얀 소를 큰 파란 양이 뒤따르지 않는다는 것과 큰 파란 양을 어린 하얀 소가 뒤따른다는 것이 모두 사실이라고 누군가 말한다.,KO-R2-Q73JV,,,
75f41cb97a,ko,dev_a,negation,늙은 파란 사자가 늙은 빨간 여우를 뒤따르지 않는다는 것과 늙은 빨간 여우가 늙은 파란 사자를 뒤따른다는 것이 모두 사실이라는 것이 사실인가?,늙은 빨간 여우를 늙은 파란 사자가 뒤따르지 않는다는 것과 늙은 파란 사자를 늙은 빨간 여우가 뒤따른다는 것이 모두 사실이라는 것이 사실인가?,KO-R2-Q73JV,,,
