language,split,task,verb,neg,label,sentence_a,sentence_b
en,train,roles,1,False,0,The old blue lion greets the old black dog and the old black dog sees the old blue lion.,The old black dog is seen by the old blue lion and the old blue lion is greeted by the old black dog.
de,train,roles,1,False,0,Der alte blaue Löwe grüßt den alten schwarzen Hund und der alte schwarze Hund sieht den alten blauen Löwen.,Der alte schwarze Hund wird von dem alten blauen Löwen gesehen und der alte blaue Löwe wird von dem alten schwarzen Hund gegrüßt.
ko,train,roles,1,False,0,늙은 파란 사자가 늙은 검은 개를 맞이한다는 것과 늙은 검은 개가 늙은 파란 사자를 본다는 것이 모두 사실이다.,늙은 검은 개를 늙은 파란 사자가 본다는 것과 늙은 파란 사자를 늙은 검은 개가 맞이한다는 것이 모두 사실이다.
en,train,roles,1,False,1,The old blue lion greets the old black dog and the old black dog sees the old blue lion.,The old black dog is greeted by the old blue lion and the old blue lion is seen by the old black dog.
de,train,roles,1,False,1,Der alte blaue Löwe grüßt den alten schwarzen Hund und der alte schwarze Hund sieht den alten blauen Löwen.,Der alte schwarze Hund wird von dem alten blauen Löwen gegrüßt und der alte blaue Löwe wird von dem alten schwarzen Hund gesehen.
ko,train,roles,1,False,1,늙은 파란 사자가 늙은 검은 개를 맞이한다는 것과 늙은 검은 개가 늙은 파란 사자를 본다는 것이 모두 사실이다.,늙은 검은 개를 늙은 파란 사자가 맞이한다는 것과 늙은 파란 사자를 늙은 검은 개가 본다는 것이 모두 사실이다.
en,train,roles,0,False,0,The young blue dog sees the young white cow and the young white cow follows the young blue dog.,The young white cow is followed by the young blue dog and the young blue dog is seen by the young white cow.
de,train,roles,0,False,0,Der junge blaue Hund sieht die junge weiße Kuh und die junge weiße Kuh verfolgt den jungen blauen Hund.,Die junge weiße Kuh wird von dem jungen blauen Hund verfolgt und der junge blaue Hund wird von der jungen weißen Kuh gesehen.
ko,train,roles,0,False,0,어린 파란 개가 어린 하얀 소를 본다는 것과 어린 하얀 소가 어린 파란 개를 뒤따른다는 것이 모두 사실이다.,어린 하얀 소를 어린 파란 개가 뒤따른다는 것과 어린 파란 개를 어린 하얀 소가 본다는 것이 모두 사실이다.
en,train,roles,0,False,1,The young blue dog sees the young white cow and the young white cow follows the young blue dog.,The young white cow is seen by the young blue dog and the young blue dog is followed by the young white cow.
de,train,roles,0,False,1,Der junge blaue Hund sieht die junge weiße Kuh und die junge weiße Kuh verfolgt den jungen blauen Hund.,Die junge weiße Kuh wird von dem jungen blauen Hund gesehen und der junge blaue Hund wird von der jungen weißen Kuh verfolgt.
ko,train,roles,0,False,1,어린 파란 개가 어린 하얀 소를 본다는 것과 어린 하얀 소가 어린 파란 개를 뒤따른다는 것이 모두 사실이다.,어린 하얀 소를 어린 파란 개가 본다는 것과 어린 파란 개를 어린 하얀 소가 뒤따른다는 것이 모두 사실이다.
en,train,roles,2,False,0,The young red horse follows the young red bear and the young red bear sees the young red horse.,The young red bear is seen by the young red horse and the young red horse is followed by the young red bear.
de,train,roles,2,False,0,Das junge rote Pferd verfolgt den jungen roten Bären und der junge rote Bär sieht das junge rote Pferd.,Der junge rote Bär wird von dem jungen roten Pferd gesehen und das junge rote Pferd wird von dem jungen roten Bären verfolgt.
ko,train,roles,2,False,0,어린 빨간 말이 어린 빨간 곰을 뒤따른다는 것과 어린 빨간 곰이 어린 빨간 말을 본다는 것이 모두 사실이다.,어린 빨간 곰을 어린 빨간 말이 본다는 것과 어린 빨간 말을 어린 빨간 곰이 뒤따른다는 것이 모두 사실이다.
en,train,roles,2,False,1,The young red horse follows the young red bear and the young red bear sees the young red horse.,The young red bear is followed by the young red horse and the young red horse is seen by the young red bear.
