review_id,language,split,task,sentence_a,sentence_b,reviewer,judged_label,fluent,comment
05ad9bbd0d,ko,dev_a,quantity,작은 노란 사자 세 마리와 어린 초록색 개 일곱 마리가 있다는 것이 사실인가?,어린 초록색 개 세 마리와 작은 노란 사자 일곱 마리가 있다는 것이 사실인가?,KO-R1-9PNJS,,,
34fae9dfe4,ko,train,space,큰 빨간 사자는 늙은 노란 토끼의 오른쪽에 있다는 것과 작은 초록색 고양이는 어린 빨간 쥐의 왼쪽에 있다는 것이 모두 사실이다.,늙은 노란 토끼는 큰 빨간 사자의 오른쪽에 있다는 것과 어린 빨간 쥐는 작은 초록색 고양이의 왼쪽에 있다는 것이 모두 사실이다.,KO-R1-9PNJS,,,
d82e3c4c1e,ko,train,negation,큰 하얀 말이 작은 하얀 닭을 뒤따른다는 것과 작은 하얀 닭이 큰 하얀 말을 뒤따르지 않는다는 것이 모두 사실이다.,작은 하얀 닭을 큰 하얀 말이 뒤따르지 않는다는 것과 큰 하얀 말을 작은 하얀 닭이 뒤따른다는 것이 모두 사실이다.,KO-R1-9PNJS,,,
ee10caa6b9,ko,test,negation,만약 작은 검은 개가 작은 하얀 말을 본다는 것과 작은 하얀 말이 작은 검은 개를 보지 않는다는 것이 모두 사실이라면 종이 울린다.,만약 작은 하얀 말을 작은 검은 개가 보지 않는다는 것과 작은 검은 개를 작은 하얀 말이 본다는 것이 모두 사실이라면 종이 울린다.,KO-R1-9PNJS,,,
2c0fe6a226,ko,train,space,큰 파란 개는 큰 노란 사자의 왼쪽에 있다는 것과 큰 초록색 곰은 어린 검은 닭의 오른쪽에 있다는 것이 모두 사실이다.,큰 노란 사자는 큰 파란 개의 오른쪽에 있다는 것과 어린 검은 닭은 큰 초록색 곰의 왼쪽에 있다는 것이 모두 사실이다.,KO-R1-9PNJS,,,
d8fa9dd1f3,ko,dev_b,space,늙은 노란 개는 어린 빨간 말의 오른쪽에 있다는 것과 큰 파란 사자는 늙은 노란 사자의 왼쪽에 있다는 것이 모두 사실이라고 누군가 말한다.,어린 빨간 말은 늙은 노란 개의 오른쪽에 있다는 것과 늙은 노란 사자는 큰 파란 사자의 왼쪽에 있다는 것이 모두 사실이라고 누군가 말한다.,KO-R1-9PNJS,,,
3c6eead70c,ko,train,roles,어린 검은 여우가 어린 초록색 소를 맞이한다는 것과 어린 초록색 소가 어린 검은 여우를 뒤따른다는 것이 모두 사실이다.,어린 초록색 소를 어린 검은 여우가 뒤따른다는 것과 어린 검은 여우를 어린 초록색 소가 맞이한다는 것이 모두 사실이다.,KO-R1-9PNJS,,,
f5aa73cc73,ko,train,quantity,큰 파란 양 다섯 마리와 늙은 초록색 토끼 두 마리가 있다.,늙은 초록색 토끼 다섯 마리와 큰 파란 양 두 마리가 있다.,KO-R1-9PNJS,,,
ac8d89e77c,ko,dev_a,quantity,어린 검은 곰 여섯 마리와 작은 검은 쥐 일곱 마리가 있다는 것이 사실인가?,작은 검은 쥐 일곱 마리와 어린 검은 곰 여섯 마리가 있다는 것이 사실인가?,KO-R1-9PNJS,,,
5420ff216f,ko,dev_b,space,어린 초록색 토끼는 큰 초록색 쥐의 오른쪽에 있다는 것과 큰 파란 여우는 작은 검은 개의 왼쪽에 있다는 것이 모두 사실이라고 누군가 말한다.,큰 초록색 쥐는 어린 초록색 토끼의 왼쪽에 있다는 것과 작은 검은 개는 큰 파란 여우의 오른쪽에 있다는 것이 모두 사실이라고 누군가 말한다.,KO-R1-9PNJS,,,
9e672ae3a6,ko,dev_a,space,큰 하얀 토끼는 작은 검은 곰의 왼쪽에 있다는 것과 늙은 파란 쥐는 어린 파란 오리의 오른쪽에 있다는 것이 모두 사실이라는 것이 사실인가?,작은 검은 곰은 큰 하얀 토끼의 오른쪽에 있다는 것과 어린 파란 오리는 늙은 파란 쥐의 왼쪽에 있다는 것이 모두 사실이라는 것이 사실인가?,KO-R1-9PNJS,,,
009d69d0d1,ko,dev_b,negation,작은 초록색 말이 어린 검은 곰을 본다는 것과 어린 검은 곰이 작은 초록색 말을 보지 않는다는 것이 모두 사실이라고 누군가 말한다.,어린 검은 곰을 작은 초록색 말이 보지 않는다는 것과 작은 초록색 말을 어린 검은 곰이 본다는 것이 모두 사실이라고 누군가 말한다.,KO-R1-9PNJS,,,
749e55f0a7,ko,test,space,만약 큰 하얀 토끼는 늙은 노란 말의 왼쪽에 있다는 것과 늙은 검은 곰은 늙은 빨간 사자의 오른쪽에 있다는 것이 모두 사실이라면 종이 울린다.,만약 늙은 노란 말은 큰 하얀 토끼의 왼쪽에 있다는 것과 늙은 빨간 사자는 늙은 검은 곰의 오른쪽에 있다는 것이 모두 사실이라면 종이 울린다.,KO-R1-9PNJS,,,
bd6166e3e6,ko,train,quantity,어린 노란 말 두 마리와 어린 노란 소 일곱 마리가 있다.,어린 노란 소 일곱 마리와 어린 노란 말 두 마리가 있다.,KO-R1-9PNJS,,,
5885bdc202,ko,dev_a,negation,어린 하얀 곰이 작은 노란 닭을 본다는 것과 작은 노란 닭이 어린 하얀 곰을 보지 않는다는 것이 모두 사실이라는 것이 사실인가?,작은 노란 닭을 어린 하얀 곰이 보지 않는다는 것과 어린 하얀 곰을 작은 노란 닭이 본다는 것이 모두 사실이라는 것이 사실인가?,KO-R1-9PNJS,,,
33e4c52d48,ko,test,space,만약 큰 하얀 닭은 작은 빨간 닭의 앞에 있다는 것과 어린 파란 토끼는 늙은 파란 토끼의 뒤에 있다는 것이 모두 사실이라면 종이 울린다.,만약 작은 빨간 닭은 큰 하얀 닭의 뒤에 있다는 것과 늙은 파란 토끼는 어린 파란 토끼의 앞에 있다는 것이 모두 사실이라면 종이 울린다.,KO-R1-9PNJS,,,
480242047a,ko,dev_b,space,작은 파란 오리는 어린 파란 곰의 왼쪽에 있다는 것과 큰 하얀 소는 큰 빨간 여우의 오른쪽에 있다는 것이 모두 사실이라고 누군가 말한다.,어린 파란 곰은 작은 파란 오리의 오른쪽에 있다는 것과 큰 빨간 여우는 큰 하얀 소의 왼쪽에 있다는 것이 모두 사실이라고 누군가 말한다.,KO-R1-9PNJS,,,
a147c7796c,ko,dev_a,negation,늙은 파란 사자가 늙은 빨간 여우를 뒤따르지 않는다는 것과 늙은 빨간 여우가 늙은 파란 사자를 뒤따른다는 것이 모두 사실이라는 것이 사실인가?,늙은 빨간 여우를 늙은 파란 사자가 뒤따르지 않는다는 것과 늙은 파란 사자를 늙은 빨간 여우가 뒤따른다는 것이 모두 사실이라는 것이 사실인가?,KO-R1-9PNJS,,,
74ada6d705,ko,dev_b,negation,작은 초록색 쥐가 늙은 초록색 고양이를 맞이하지 않는다는 것과 늙은 초록색 고양이가 작은 초록색 쥐를 맞이한다는 것이 모두 사실이라고 누군가 말한다.,늙은 초록색 고양이를 작은 초록색 쥐가 맞이한다는 것과 작은 초록색 쥐를 늙은 초록색 고양이가 맞이하지 않는다는 것이 모두 사실이라고 누군가 말한다.,KO-R1-9PNJS,,,
df9b0cf9cd,ko,test,roles,만약 큰 초록색 오리가 어린 파란 사자를 본다는 것과 어린 파란 사자가 큰 초록색 오리를 뒤따른다는 것이 모두 사실이라면 종이 울린다.,만약 어린 파란 사자를 큰 초록색 오리가 뒤따른다는 것과 큰 초록색 오리를 어린 파란 사자가 본다는 것이 모두 사실이라면 종이 울린다.,KO-R1-9PNJS,,,
4714bf5d62,ko,test,space,만약 어린 노란 소는 작은 노란 양의 왼쪽에 있다는 것과 어린 하얀 쥐는 큰 하얀 여우의 오른쪽에 있다는 것이 모두 사실이라면 종이 울린다.,만약 작은 노란 양은 어린 노란 소의 오른쪽에 있다는 것과 큰 하얀 여우는 어린 하얀 쥐의 왼쪽에 있다는 것이 모두 사실이라면 종이 울린다.,KO-R1-9PNJS,,,
