language,split,task,verb,neg,sentence_a,sentence_b
de,train,roles,1,False,Der alte blaue Löwe grüßt den alten schwarzen Hund und der alte schwarze Hund sieht den alten blauen Löwen.,Der alte schwarze Hund wird von dem alten blauen Löwen gesehen und der alte blaue Löwe wird von dem alten schwarzen Hund gegrüßt.
de,train,roles,1,False,Der alte blaue Löwe grüßt den alten schwarzen Hund und der alte schwarze Hund sieht den alten blauen Löwen.,Der alte schwarze Hund wird von dem alten blauen Löwen gegrüßt und der alte blaue Löwe wird von dem alten schwarzen Hund gesehen.
de,train,roles,0,False,Der junge blaue Hund sieht die junge weiße Kuh und die junge weiße Kuh verfolgt den jungen blauen Hund.,Die junge weiße Kuh wird von dem jungen blauen Hund verfolgt und der junge blaue Hund wird von der jungen weißen Kuh gesehen.
de,train,roles,0,False,Der junge blaue Hund sieht die junge weiße Kuh und die junge weiße Kuh verfolgt den jungen blauen Hund.,Die junge weiße Kuh wird von dem jungen blauen Hund gesehen und der junge blaue Hund wird von der jungen weißen Kuh verfolgt.
de,train,roles,2,False,Das junge rote Pferd verfolgt den jungen roten Bären und der junge rote Bär sieht das junge rote Pferd.,Der junge rote Bär wird von dem jungen roten Pferd gesehen und das junge rote Pferd wird von dem jungen roten Bären verfolgt.
de,train,roles,2,False,Das junge rote Pferd verfolgt den jungen roten Bären und der junge rote Bär sieht das junge rote Pferd.,Der junge rote Bär wird von dem jungen roten Pferd verfolgt und das junge rote Pferd wird von dem jungen roten Bären gesehen.
de,train,negation,0,True,Der große gelbe Fuchs sieht den großen weißen Löwen nicht und der große weiße Löwe sieht den großen gelben Fuchs.,Der große weiße Löwe wird von dem großen gelben Fuchs gesehen und der große gelbe Fuchs wird nicht von dem großen weißen Löwen gesehen.
de,train,negation,0,True,Der große gelbe Fuchs sieht den großen weißen Löwen nicht und der große weiße Löwe sieht den großen gelben Fuchs.,Der große weiße Löwe wird nicht von dem großen gelben Fuchs gesehen und der große gelbe Fuchs wird von dem großen weißen Löwen gesehen.
de,train,negation,0,False,Der junge weiße Hund sieht die große gelbe Kuh und die große gelbe Kuh sieht den jungen weißen Hund nicht.,Die große gelbe Kuh wird nicht von dem jungen weißen Hund gesehen und der junge weiße Hund wird von der großen gelben Kuh gesehen.
de,train,negation,0,False,Der junge weiße Hund sieht die große gelbe Kuh und die große gelbe Kuh sieht den jungen weißen Hund nicht.,Die große gelbe Kuh wird von dem jungen weißen Hund gesehen und der junge weiße Hund wird nicht von der großen gelben Kuh gesehen.
de,train,negation,1,False,Der kleine weiße Löwe grüßt das kleine grüne Huhn und das kleine grüne Huhn grüßt den kleinen weißen Löwen nicht.,Das kleine grüne Huhn wird nicht von dem kleinen weißen Löwen gegrüßt und der kleine weiße Löwe wird von dem kleinen grünen Huhn gegrüßt.
de,train,negation,1,False,Der kleine weiße Löwe grüßt das kleine grüne Huhn und das kleine grüne Huhn grüßt den kleinen weißen Löwen nicht.,Das kleine grüne Huhn wird von dem kleinen weißen Löwen gegrüßt und der kleine weiße Löwe wird nicht von dem kleinen grünen Huhn gegrüßt.
de,train,negation,2,True,Die kleine weiße Kuh verfolgt den großen grünen Löwen nicht und der große grüne Löwe verfolgt die kleine weiße Kuh.,Der große grüne Löwe wird von der kleinen weißen Kuh verfolgt und die kleine weiße Kuh wird nicht von dem großen grünen Löwen verfolgt.
de,train,negation,2,True,Die kleine weiße Kuh verfolgt den großen grünen Löwen nicht und der große grüne Löwe verfolgt die kleine weiße Kuh.,Der große grüne Löwe wird nicht von der kleinen weißen Kuh verfolgt und die kleine weiße Kuh wird von dem großen grünen Löwen verfolgt.
de,train,negation,2,False,Die kleine rote Katze verfolgt das junge weiße Huhn und das junge weiße Huhn verfolgt die kleine rote Katze nicht.,Das junge weiße Huhn wird nicht von der kleinen roten Katze verfolgt und die kleine rote Katze wird von dem jungen weißen Huhn verfolgt.
de,train,negation,2,False,Die kleine rote Katze verfolgt das junge weiße Huhn und das junge weiße Huhn verfolgt die kleine rote Katze nicht.,Das junge weiße Huhn wird von der kleinen roten Katze verfolgt und die kleine rote Katze wird nicht von dem jungen weißen Huhn verfolgt.
de,train,negation,1,True,Das große rote Pferd grüßt den großen roten Löwen nicht und der große rote Löwe grüßt das große rote Pferd.,Der große rote Löwe wird von dem großen roten Pferd gegrüßt und das große rote Pferd wird nicht von dem großen roten Löwen gegrüßt.
de,train,negation,1,True,Das große rote Pferd grüßt den großen roten Löwen nicht und der große rote Löwe grüßt das große rote Pferd.,Der große rote Löwe wird nicht von dem großen roten Pferd gegrüßt und das große rote Pferd wird von dem großen roten Löwen gegrüßt.
de,train,space,1,True,Der kleine gelbe Löwe ist links von dem jungen blauen Bären und das kleine grüne Kaninchen ist rechts von der kleinen grünen Katze.,Der junge blaue Bär ist links von dem kleinen gelben Löwen und die kleine grüne Katze ist rechts von dem kleinen grünen Kaninchen.
de,train,space,1,True,Der kleine gelbe Löwe ist links von dem jungen blauen Bären und das kleine grüne Kaninchen ist rechts von der kleinen grünen Katze.,Der junge blaue Bär ist rechts von dem kleinen gelben Löwen und die kleine grüne Katze ist links von dem kleinen grünen Kaninchen.
de,train,space,2,False,Der alte rote Hund ist rechts von dem kleinen blauen Pferd und das große gelbe Pferd ist links von dem jungen roten Bären.,Das kleine blaue Pferd ist rechts von dem alten roten Hund und der junge rote Bär ist links von dem großen gelben Pferd.
de,train,space,2,False,Der alte rote Hund ist rechts von dem kleinen blauen Pferd und das große gelbe Pferd ist links von dem jungen roten Bären.,Das kleine blaue Pferd ist links von dem alten roten Hund und der junge rote Bär ist rechts von dem großen gelben Pferd.
de,train,space,2,True,Die kleine weiße Ente ist rechts von der jungen roten Maus und das alte weiße Huhn ist links von der großen gelben Kuh.,Die junge rote Maus ist rechts von der kleinen weißen Ente und die große gelbe Kuh ist links von dem alten weißen Huhn.
de,train,space,2,True,Die kleine weiße Ente ist rechts von der jungen roten Maus und das alte weiße Huhn ist links von der großen gelben Kuh.,Die junge rote Maus ist links von der kleinen weißen Ente und die große gelbe Kuh ist rechts von dem alten weißen Huhn.
de,train,space,0,False,Die kleine grüne Kuh ist rechts von dem kleinen roten Schaf und die junge weiße Ente ist links von der kleinen blauen Ente.,Das kleine rote Schaf ist rechts von der kleinen grünen Kuh und die kleine blaue Ente ist links von der jungen weißen Ente.
